,movie,year,imdb,metascore,votes
0,Gladiator,2000,8.5,67,1171537
1,Memento,2000,8.5,80,1003870
2,Snatch,2000,8.3,55,700151
3,Requiem for a Dream,2000,8.3,68,680651
4,X-Men,2000,7.4,64,521282
5,Cast Away,2000,7.8,73,459574
6,American Psycho,2000,7.6,64,418152
7,Unbreakable,2000,7.3,62,310092
8,Meet the Parents,2000,7.0,73,288024
9,Mission: Impossible II,2000,6.1,59,282885
10,"O Brother, Where Art Thou?",2000,7.8,69,257695
11,Gone in Sixty Seconds,2000,6.5,35,241214
12,"Crouching Tiger, Hidden Dragon",2000,7.9,93,236236
13,The Patriot,2000,7.2,63,232267
14,Almost Famous,2000,7.9,90,230807
15,Pitch Black,2000,7.1,49,211066
16,Scary Movie,2000,6.2,48,210398
17,"Me, Myself & Irene",2000,6.6,49,205908
18,Final Destination,2000,6.7,36,205725
19,The Beach,2000,6.6,43,203207
20,Amores Perros,2000,8.1,83,202696
21,Traffic,2000,7.6,86,183723
22,Remember the Titans,2000,7.8,48,180563
23,What Women Want,2000,6.4,47,176790
24,How the Grinch Stole Christmas,2000,6.1,46,173809
25,Chocolat,2000,7.3,64,165604
26,Miss Congeniality,2000,6.2,43,163097
27,Charlie's Angels,2000,5.5,52,159999
28,Chicken Run,2000,7.0,88,159683
29,Battle Royale,2000,7.7,81,156480
30,High Fidelity,2000,7.5,79,156180
31,The Emperor's New Groove,2000,7.3,70,154604
32,Erin Brockovich,2000,7.3,73,154336
33,Road Trip,2000,6.5,55,146082
34,The Perfect Storm,2000,6.4,59,144603
35,"Dude, Where's My Car?",2000,5.5,30,126833
36,Hollow Man,2000,5.7,24,112836
37,Scream 3,2000,5.6,56,111822
38,Billy Elliot,2000,7.7,74,111422
39,Shanghai Noon,2000,6.6,77,109291
40,The 6th Day,2000,5.9,49,108761
41,What Lies Beneath,2000,6.6,51,108363
42,Pay It Forward,2000,7.2,40,105689
43,In the Mood for Love,2000,8.1,85,101374
44,The Whole Nine Yards,2000,6.7,47,100524
45,Coyote Ugly,2000,5.6,27,99254
46,Men of Honor,2000,7.2,56,99201
47,The Family Man,2000,6.7,42,95185
48,Frequency,2000,7.4,67,92711
49,Gladiator,2000,8.5,67,1171537
50,Memento,2000,8.5,80,1003870
51,Snatch,2000,8.3,55,700151
52,Requiem for a Dream,2000,8.3,68,680651
53,X-Men,2000,7.4,64,521282
54,Cast Away,2000,7.8,73,459574
55,American Psycho,2000,7.6,64,418152
56,Unbreakable,2000,7.3,62,310092
57,Meet the Parents,2000,7.0,73,288024
58,Mission: Impossible II,2000,6.1,59,282885
59,"O Brother, Where Art Thou?",2000,7.8,69,257695
60,Gone in Sixty Seconds,2000,6.5,35,241214
61,"Crouching Tiger, Hidden Dragon",2000,7.9,93,236236
62,The Patriot,2000,7.2,63,232267
63,Almost Famous,2000,7.9,90,230807
64,Pitch Black,2000,7.1,49,211066
65,Scary Movie,2000,6.2,48,210398
66,"Me, Myself & Irene",2000,6.6,49,205908
67,Final Destination,2000,6.7,36,205725
68,The Beach,2000,6.6,43,203207
69,Amores Perros,2000,8.1,83,202696
70,Traffic,2000,7.6,86,183723
71,Remember the Titans,2000,7.8,48,180563
72,What Women Want,2000,6.4,47,176790
73,How the Grinch Stole Christmas,2000,6.1,46,173809
74,Chocolat,2000,7.3,64,165604
75,Miss Congeniality,2000,6.2,43,163097
76,Charlie's Angels,2000,5.5,52,159999
77,Chicken Run,2000,7.0,88,159683
78,Battle Royale,2000,7.7,81,156480
79,High Fidelity,2000,7.5,79,156180
80,The Emperor's New Groove,2000,7.3,70,154604
81,Erin Brockovich,2000,7.3,73,154336
82,Road Trip,2000,6.5,55,146082
83,The Perfect Storm,2000,6.4,59,144603
84,"Dude, Where's My Car?",2000,5.5,30,126833
85,Hollow Man,2000,5.7,24,112836
86,Scream 3,2000,5.6,56,111822
87,Billy Elliot,2000,7.7,74,111422
88,Shanghai Noon,2000,6.6,77,109291
89,The 6th Day,2000,5.9,49,108761
90,What Lies Beneath,2000,6.6,51,108363
91,Pay It Forward,2000,7.2,40,105689
92,In the Mood for Love,2000,8.1,85,101374
93,The Whole Nine Yards,2000,6.7,47,100524
94,Coyote Ugly,2000,5.6,27,99254
95,Men of Honor,2000,7.2,56,99201
96,The Family Man,2000,6.7,42,95185
97,Frequency,2000,7.4,67,92711
98,Gladiator,2000,8.5,67,1171537
99,Memento,2000,8.5,80,1003870
100,Snatch,2000,8.3,55,700151
101,Requiem for a Dream,2000,8.3,68,680651
102,X-Men,2000,7.4,64,521282
103,Cast Away,2000,7.8,73,459574
104,American Psycho,2000,7.6,64,418152
105,Unbreakable,2000,7.3,62,310092
